,,,,,,,,Mar-16,,,,,,,,,,,,,,,,,,,
311,Water kress,"Water kress, per Kg","Water kress, local, 3 medium size bundles for 100-150vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
499,"Herbs, fresh","Parsley, bunch, per Kg",Parsley,Tebakor Shopping Center, ,0,N,,,,,,,,,,,,,,,,,,,,
1101,"Herbs, fresh","Parsley, bunch, per Kg","Parsley, packet in plastic bag",Traverso, ,0,N,,,,,,,,,,,,,,,,,,,,
1081,"Coconut, dried","Coconut, dried, per Kg?","Coconut, dried, 5bundles, medium size, 10-12 fruits, 100-150vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
1082,Passion fruits,"Passion fruits, fresh, local","Passion fruits, three plastics for 100VT",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
1084,Island cabbage,"Cabbage, Island, per Kg","Island Cabbage, 1 bundle",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
1118,DVD player,"DVD player, name brand, single disc","DVD player, shenger, MPEG 4, photo of Rastaman",9 Ocean shopping centre,0,8,N,,,,,,,,,,,,,,,,,,,,
1120,Island cabbage,"Cabbage, Island, per Kg","Island Cabbage, 5bundles",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
1137,"Banana, cooking","Banana, cooking, bunch, per Kg","Banana, cooking, 5 bunchs, medium, 10-12 fruits, 100-150vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
1179,Tomato local,"Tomato, local, loose, per Kg","Tomato, local, per Kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
1180,Tomato local,"Tomato, local, loose, per Kg","Tomato, local, per Kg",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
1181,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, Ah Pow, 10 loaves",Tebakor Shopping Center, ,0,Y,,,,,,,,,,,,,,,,,,,,
1182,Rock melon,"Rock melon, loose, per Kg","Water melon, local",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
1183,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, Ah Pow, 10 loaves",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
1184,Potato,"Potatoes, white, loose, per Kg","White washed potatotes, 1Kg",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
1185,"Herbs, fresh","Parsley, bunch, per Kg","Parsley, bunch wrapped in plastic",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
1465,Ginger,"Ginger, loose, per Kg","Ginger, loose, 1kg",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
1466,Ginger,"Ginger, loose, per Kg","Ginger, loose, 1kg",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
1467,Ginger,"Ginger, loose, per Kg","Ginger, loose, 1kg",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
1468,Yam,"Yam, Per Kilo",Yam per Kilo,Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
1469,Yam,"Yam, Per Kilo",Yam per Kilo,Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
1470,Sweet Potato (Kumala),Kumala Per Kilo,"Kumala, Per Kilo",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
1471,Sweet Potato (Kumala),Kumala Per Kilo,"Kumala, Per Kilo",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
1472,Taro (Fiji),Taro (Fiji) Per Kilo,"Taro, (Fiji) Per Kilo",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
1473,Taro (Fiji),Taro (Fiji) Per Kilo,"Taro, (Fiji) Per Kilo",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
1474,"Banana, cooking","Banana, cooking, bunch, per Kg","Banana, Cooking, Per Kilo",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
1475,"Banana, cooking","Banana, cooking, bunch, per Kg","Banana, Cooking, Per Kilo",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
1476,Potato,"Potatoes, white, loose, per Kg","Potatoes, white, washed potatoe, loose, per kilo",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
1477,"Coconut, dried","Coconut, dried, per Kg?","Dry Coconut, Per kilo",Au Bon Marche Nambatu, ,0,Y,,,,,,,,,,,,,,,,,,,,
1478,"Coconut, dried","Coconut, dried, per Kg?","Dry Coconut, Per kilo",Au Bon Marche Manples, ,0,Y,,,,,,,,,,,,,,,,,,,,
1480,English loaf 30 cm,"English loaf, 30 cm, unsliced","English local loaf, 3 loaves",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
1481,French loaf 30 cm,"French loaf, 30 cm, unsliced","French loaf freshly packed, 30 cm, loaf shack, 10 loaves",Traverso, ,0,Y,,,,,,,,,,,,,,,,,,,,
1592,Water kress,"Water kress, per Kg","Water kress, local,5 medium size bundles for 100-150vt",Market House, ,0,Y,,,,,,,,,,,,,,,,,,,,
