ItemId,Eas,Specification,LocalDescription,Outlet,Address,CollDay,Active,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,
251,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg",Traverso, ,0,Y,1,1,1,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,
252,Carrot local,"Carrots, loose, per Kg","Fresh carrots, 1Kg",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
253,Carrot local,"Carrots, loose, per Kg","Fresh carrots, local, 5 bundles, 100vt",Market House, ,0,Y,1,1,1.1,1.1,1.1,1.6,,,,,,,,,,,,,,,,,,,,,,0.89,,2.75,2.75,,,,1,7.5,2.8,4.5,,2.5,2.75,2.99,,2.53,,1.87,,
254,Radish,"Radish, pkt, per Kg","Radish, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,,1,,0.174,0.174,0.174,1,,,,,,1,,,,1,1,1,1,1,1,,,1,1,1,,1,1,,,,,,,,,,,1,,,
255,Radish,"Radish, pkt, per Kg","Radish, Pkt",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,,,,,,,,,,,1,,,,1,1,1,1,1,1,,,1,1,1,,1,1,1,,,,,,,,,,,,,
256,Radish,"Radish, pkt, per Kg","Radish, Pkt",Traverso, ,0,Y,1,1,1,1,,1,0.27,0.304,0.304,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.38,0.76,,,0.47,0.47,,,,
257,Radish,"Radish, pkt, per Kg","Radish, local, 5bundles, 100vt",Market House, ,0,Y,1.1,1.1,1.1,0.6,0.6,,,,,,,,,3.6,,2.61,2.98,0.87,0.87,0.87,2.98,1.98,1.98,1.98,1.98,1.98,,,1.98,,,,1.98,1.98,,,,,1.7,1.01,1.12,,0.45,0.99,6.42,,,
258,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,,1,1,1,,1,1,1,1,,,1,0.282,,,1,1,1,,,,,,,,,,,,,,,1,1,,,,1,,0.248,,0.164,0.33,,,
259,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,,,,0.27,0.364,0.364,0.364,,1,1,1,0.72,1,1,1,1,1,1,1,1,1,1,1,0.47,1.2,1,1,1,0.47,1,1,0.896,,,,,1,,0.247,,1,1,,,
260,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Traverso, ,0,Y,1,1,1,1,1,1,1,0.24,0.24,0.24,1,1,1,1,0.214,0.192,,0.13,0.13,0.13,,,,,,,0.318,,,,,0.318,,,,1,,,1,0.64,1,0.181,0.18,0.246,0.384,0.212,,
